rating,stars,pitches,type,city,state
Spider God,5.11b R,3.8,1,"Trad, Sport",Vedauwoo,Wyoming
I'd Rather Be In Philadelphia,5.12,4.1,1,Trad,Vedauwoo,Wyoming
Route Number 3,5.12-,3.3,1,Sport,The Wet Mountains,Colorado
The Vampire,5.9,2.7,4,Trad,Boulder,Colorado
Illegal Smile,5.8,3.6,1,Trad,South Platte,Colorado
The Radlands of Infinity,5.12d,4.5,2,Sport,Boulder,Colorado
Hueco Simulator,V4,3.5,,Boulder,Boulder,Colorado
Lothar,5.9+,3.2,1,"Sport, TR",Denver South,Colorado
Ph.D. Roof,5.10a,2.8,4,Trad,Boulder,Colorado
Fire Pit?,V8,3.0,,Boulder,Fort Collins,Colorado
Skin Poppin' Slut,V4,4.1,,Boulder,Boulder,Colorado
Scarface,V6,4.4,,Boulder,Fort Collins,Colorado
The Horn,V-easy,2.0,,Boulder,Fort Collins,Colorado
Tsunami,V6-,4.5,,Boulder,Fort Collins,Colorado
Final Exam,5.11a,3.6,1,Trad,Boulder,Colorado
Rock Biter,5.3 R,1.0,1,Sport,Lyons,Colorado
Kloeberdanz,5.11c R,3.4,3,Trad,Boulder,Colorado
I'll be Dipped,5.10b,2.7,1,Sport,Boulder,Colorado
Crown of Thorns  aka Box Lunch aka Lou Raven's Rest,5.11a,4.4,1,Sport,Canon City,Colorado
Idiot Savant,5.11c,3.3,1,Sport,Golden,Colorado
Asahi,5.10 PG13,4.2,2,"Trad, Sport",Boulder,Colorado
Jaguar,5.11c,3.0,1,"Trad, Sport",Boulder,Colorado
Urban Development,5.10a/b,2.8,1,Trad,South Platte,Colorado
Cold Fusion,5.10c,2.8,1,"Trad, Sport",Boulder,Colorado
Bishop Jaggers,5.9,4.6,4,Trad,South Platte,Colorado
Renaissance,5.10d,4.3,2,Trad,Grand Junction Area,Colorado
Forrest-Walker,5.10+ A4 R,5.0,22,"Trad, Aid",Gunnison,Colorado
Olympic Free Style Goat Toss,5.11,2.8,1,Sport,Empire,Colorado
Center Route,V10,2.9,,Boulder,Morrison/Evergreen,Colorado
X marks the spot,V2,3.5,,Boulder,Boulder,Colorado
Divination Direct,5.11d,3.9,3,Sport,Boulder,Colorado
Wake Up Call,5.10b,3.2,1,Sport,Boulder,Colorado
NW Corner / Square Rock,5.8,2.3,1,Trad,Boulder,Colorado
Fishisms,5.10-,3.8,,Trad,Canon City,Colorado
Christmas Tree,5.10b/c,3.2,1,Sport,Canon City,Colorado
The Alignment,5.10c/d,3.6,1,Sport,Canon City,Colorado
