rating,stars,pitches,type,city,state
Safety in Numbers,5.11a A3,4.0,1,"Trad, TR, Aid",Estes Park Valley,Colorado
Log Jam,5.7,3.3,1,Trad,South Platte,Colorado
Helm Hammerhand,5.9+,3.3,1,Sport,Denver South,Colorado
Tunnel of Love,5.9,2.5,1,Trad,Boulder,Colorado
The Quickening,5.13c,4.9,1,Sport,Estes Park Valley,Colorado
First Iteration,5.10a,3.2,1,"Sport, TR",Vedauwoo,Wyoming
The Omen,5.10d,2.0,,Sport,Canon City,Colorado
I Spy,5.8,3.0,1,Trad,Lyons,Colorado
Munchkins on Parade,5.10c,3.0,1,Sport,Canon City,Colorado
Twister,5.10,4.0,3,Trad,Estes Park Valley,Colorado
Peaches and Cream,5.11,4.0,1,Trad,Estes Park Valley,Colorado
Consilience,5.11b/c,4.4,1,Sport,Boulder,Colorado
Mile High Comic Crack,5.12a,3.6,1,Trad,Boulder,Colorado
Debaser,5.12d,4.1,1,Sport,Rifle,Colorado
Aeronaut,5.11-,4.0,1,"Trad, Sport",Boulder,Colorado
Kill For a Thrill,5.13a,3.5,,Sport,Rifle,Colorado
Flake,5.8+,3.9,1,Trad,Vedauwoo,Wyoming
Fleshfest,V9,4.7,,Boulder,Boulder,Colorado
Question of Balance,5.11,4.6,1,"Trad, TR",Gunnison,Colorado
Faux,5.7,1.0,1,Trad,Estes Park Valley,Colorado
Future Primitive,5.6,2.0,4,Trad,Boulder,Colorado
Windows On the World,5.12b,4.6,4,Sport,Empire,Colorado
Gonzo's Lament,5.9,3.7,4,Trad,South Platte,Colorado
Gotham City,5.10a,2.8,1,Sport,Canon City,Colorado
Full Circle,5.12b,4.0,1,Sport,Boulder,Colorado
Lust,5.10c,4.3,1,Sport,Boulder,Colorado
Sunday Comix,5.9+ X,3.7,1,"Trad, TR",Boulder,Colorado
Leisure Time Arete,5.11a,2.0,1,TR,Boulder,Colorado
Dominatrix,5.8,2.3,1,Trad,Boulder,Colorado
Escergot,5.7,2.3,1,Trad,Boulder,Colorado
Palm Pilot,5.13d,2.8,1,"Sport, Chipped",Boulder,Colorado
"Love, Sex, and the IRS",5.8,2.6,1,"Trad, Sport",Golden,Colorado
Tootsie Roll,5.8-,2.8,1,Sport,Golden,Colorado
West Chimney,5.6,2.3,3,Trad,Estes Park Valley,Colorado
Crack,5.11c,3.2,1,"Trad, TR",Boulder,Colorado
Red Faction,5.13a,4.7,1,Sport,Carbondale Area,Colorado
Three Stooges,5.12a/b,3.4,1,Sport,Canon City,Colorado
Viper,C3-,5.0,3,Aid,Estes Park Valley,Colorado
Gaffer,5.10b R,3.0,1,Sport,Lyons,Colorado
Electricity,5.12a,2.5,2,"Trad, Sport",Boulder,Colorado
Gyro Captain,5.12b,3.0,1,Sport,Boulder,Colorado
True Comedian,5.12b,3.0,1,Sport,Boulder,Colorado
One Ton Ho,V9,4.0,,Boulder,Fort Collins,Colorado
The Adultress,5.12b,4.9,1,Sport,Boulder,Colorado
Lone Pine Tree Direct,5.10,4.4,1,Trad,Glenwood Springs,Colorado
Twin Cracks aka Railroad Cracks,5.8,3.1,1,Trad,Glenwood Springs,Colorado
Jump for Cholla,5.10d,3.0,1,Trad,Canon City,Colorado
Cattle Prod,5.11a,2.3,1,Sport,Canon City,Colorado
East Inside Corner,V2,2.9,,Boulder,Boulder,Colorado
Beamer Up Scotty,5.9,2.7,1,Trad,Lyons,Colorado
Squeeze Play,5.13b,3.9,1,Sport,Golden,Colorado
Eagles Are People Too,5.10d R,2.0,1,Trad,Boulder,Colorado
Stickman Walking Over the Brooklyn Bridge,V8,3.7,1,Boulder,Fort Collins,Colorado
.30-06,5.12a,4.5,1,Trad,Golden,Colorado
Cool Jet,5.11c,2.7,1,"Trad, TR",Vedauwoo,Wyoming
Eastern Front,5.7,2.7,2,Trad,South Platte,Colorado
Bottom Feeder,5.11b,3.2,1,Sport,Rifle,Colorado
Property Boundary,5.12b,2.0,1,Sport,South Platte,Colorado
Horseshoes and Handgrenades,5.11d,2.0,1,TR,Morrison/Evergreen,Colorado
West Side (Story),5.6,2.2,2,Trad,Boulder,Colorado
Crazy Face,5.11a,2.5,1,,South Platte,Colorado
Nincombook,5.10a,2.0,2,Trad,The Wet Mountains,Colorado
Leftover Stuff,5.10,3.1,1,Sport,Golden,Colorado
She's a Moaner,5.9,3.3,1,Sport,South Platte,Colorado
S-Crack,5.10a/b,3.6,1,TR,Fort Collins,Colorado
Jimmy Cliff,5.7 X,2.5,1,Trad,Boulder,Colorado
West Flake,5.9,3.6,1,TR,Fort Collins,Colorado
Enos Mills,5.6,2.0,1,Trad,Estes Park Valley,Colorado
Gut Feeling,5.10 R,2.0,1,Trad,Boulder,Colorado
Red Wall,5.10,3.8,6,"Trad, Alpine",Alpine Rock,Colorado
Vitamin-N,5.9,3.3,1,Sport,Golden,Colorado
Continental Call,5.10a,2.8,1,Sport,Rifle,Colorado
First Crack,5.2,1.7,1,Trad,Boulder,Colorado
Scarlett's Pulse,5.7,1.5,1,Trad,Golden,Colorado
Snake Watching,5.13a,4.8,1,Sport,Boulder,Colorado
Fatman and Robin,5.10d,3.1,1,Sport,Boulder,Colorado
Sunlight Makes Me Paranoid,5.10c,3.7,1,Sport,Boulder,Colorado
Disney on Ice,5.11b,3.0,1,Sport,South Platte,Colorado
Schnitzel Bock,V2,3.1,,Boulder,Boulder,Colorado
Dry Run,5.9,2.5,1,Sport,Boulder,Colorado
Corn,5.5,2.5,1,Trad,Vedauwoo,Wyoming
Cold Shot,5.11a,3.0,1,Sport,Boulder,Colorado
Black 'N Dicey,5.10a,3.0,1,Sport,Canon City,Colorado
South of the Mouth,5.6,2.0,1,Trad,Boulder,Colorado
Flail Mary,5.10c,1.0,1,Trad,Estes Park Valley,Colorado
What The Hey,5.9+,3.0,1,Sport,San Luis Valley,Colorado
The Imposed,5.11c,2.8,1,Sport,South Platte,Colorado
Pinch Bulge Sit Down,V4+,3.6,,Boulder,Boulder,Colorado
Dr. Gizmo,5.10+,4.7,2,Trad,Telluride/Norwood area,Colorado
Signs of Life,5.11b,3.4,1,Sport,Boulder,Colorado
Wide Crack,5.4,2.3,1,"Trad, TR",Boulder,Colorado
Bits and Pieces,5.10b,1.5,1,Sport,Canon City,Colorado
The Slit,5.9+,3.1,1,"Trad, TR",Boulder,Colorado
One Arm Overhang,V3,2.6,,Boulder,Boulder,Colorado
Sublime Buttress,5.11 R,4.4,7,"Trad, Alpine",Alpine Rock,Colorado
Practical Joke,5.8,2.6,1,"Trad, Sport",Boulder,Colorado
Granite Beach,5.12a,5.0,1,Sport,Lyons,Colorado
Right Hand Mantel,V2,3.3,,Boulder,Boulder,Colorado
Footloose 'N' Fancy Free,5.11a,4.6,1,Sport,Colorado Springs,Colorado
On the Crest,5.11b,3.7,1,Trad,Boulder,Colorado
"Dyne-""E""-Mite",5.9 R,2.3,1,"Trad, Sport",Estes Park Valley,Colorado
S Buttress Direct,5.10b,3.0,1,Trad,Boulder,Colorado
Covert Action,5.8,3.0,3,Trad,Estes Park Valley,Colorado
Arete,5.11c X,3.4,,"Trad, TR",Estes Park Valley,Colorado
Thin Ice,5.9+ X,3.0,1,"Trad, TR",Boulder,Colorado
Stone Love,5.10d,4.6,2,Trad,Boulder,Colorado
Crackside Direct (var.),5.9+,3.3,1,Trad,Golden,Colorado
Salsa Verde,5.11+,3.5,1,Sport,Boulder,Colorado
Primal Scream,5.11d,2.7,1,Trad,Boulder,Colorado
Chockstone,5.10a,4.0,3,Trad,Boulder,Colorado
Culp-Bossier,5.8+,4.5,8,"Trad, Alpine",Alpine Rock,Colorado
Alive and Kicking,5.10a,2.3,2,Trad,South Platte,Colorado
Journey through Gwondonaland,5.10-,4.6,2,Trad,Gunnison,Colorado
Sunup,5.8,3.8,1,Sport,Grand Junction Area,Colorado
True Grit,5.13a,3.0,1,Sport,Lyons,Colorado
Ooh La La Express,,3.0,,"Trad, Alpine",Alpine Rock,Colorado
Coyote,5.12b R,5.0,2,"Trad, Sport",Estes Park Valley,Colorado
"Lions and Chipmunks and Bears, Oh My",5.9,3.1,1,Sport,South Platte,Colorado
The Horse,5.10d,2.5,1,"Trad, Sport",Boulder,Colorado
Dirty Dave's Dumpster Dive,5.10a,2.6,1,Sport,Boulder,Colorado
The Metamorphosis,5.10-,4.6,1,Trad,Boulder,Colorado
Blackjack,5.8,2.3,2,Trad,South Platte,Colorado
The Yorkshire Ripper,5.10d R,2.3,1,Trad,Boulder,Colorado
Two Move Groove,5.8,2.0,1,Trad,Boulder,Colorado
Charon's Boat,5.9,2.6,1,Sport,Boulder,Colorado
Slat,5.7,2.9,1,Trad,Vedauwoo,Wyoming
Resurrection,5.9,2.6,1,Trad,Boulder,Colorado
Midge Squadron,5.11b/c,3.4,1,Sport,Boulder,Colorado
The Rook,5.10+,5.0,1,"Trad, Alpine",Alpine Rock,Colorado
Rope Rider,5.12a,3.0,1,Trad,Alpine Rock,Colorado
Fashionably Uninvited,5.10+,5.0,1,Trad,South Platte,Colorado
Greenback,5.10b,2.5,1,Sport,Boulder,Colorado
Outland,5.9+,2.0,3,Trad,Golden,Colorado
Bull Fight,5.12b,2.5,1,Sport,Boulder,Colorado
Manic Depressive,5.12-,3.3,1,"Trad, TR",Boulder,Colorado
Hemingway's Farewell,5.11d,3.0,1,Sport,Eagle/Vail/Minturn/Red Cliff,Colorado
Inner Reaches,5.8,3.3,1,Trad,South Platte,Colorado
Bad Man with a Devil's Hand,5.10b,4.0,3,Trad,Vedauwoo,Wyoming
Excalibur,5.11b,3.3,2,Sport,Boulder,Colorado
The Leper,5.11c,3.0,1,TR,South Platte,Colorado
Flat Foot,5.11a,3.0,1,Trad,South Platte,Colorado
Pinnacle,5.11a,2.3,1,Trad,Boulder,Colorado
Greenfield,5.11b/c,2.3,1,Trad,Boulder,Colorado
When the Whip Comes Down,5.11d,4.4,1,Sport,San Luis Valley,Colorado
Bureau Headquarters,5.11a,2.5,1,Trad,Boulder,Colorado
Big Sky Arete,5.11d,3.0,1,Sport,Boulder,Colorado
Adagio,5.9,4.0,1,Trad,Telluride/Norwood area,Colorado
Thin Crack,5.9+,2.0,1,"Trad, TR",Estes Park Valley,Colorado
Crack of Mind,5.8,3.2,1,Trad,Telluride/Norwood area,Colorado
East Face Right/Red Devil,5.6 R,3.7,2,Trad,Boulder,Colorado
A Long December,5.11a,3.8,3,Trad,Lyons,Colorado
Shady Girl,5.10c,2.9,1,Sport,Golden,Colorado
Common Denominator,5.9+,2.8,1,Trad,Boulder,Colorado
Original Sin,5.10a,3.0,1,Trad,South Platte,Colorado
The Hernia,5.8,3.6,1,Trad,Tahquitz & Suicide Rocks,California
North Ridge,5.7,2.8,3,"Trad, Alpine",Albuquerque Area Climbing,New Mexico
Pony Express aka Bunny Ramp,5.6,2.7,2,Trad,Grand Junction Area,Colorado
Heinous Cling,5.12c,4.7,1,Sport,Central Oregon,Oregon
Liquid Jade,5.12b,4.1,1,Sport,Central Oregon,Oregon
Go Greyhound,5.11- PG13,3.9,1,Trad,Red Rock,Nevada
Tecnu,5.9+ PG13,4.0,1,Sport,Central Coast,California
Serpentine,5.9,4.1,3,Trad,Tahquitz & Suicide Rocks,California
Green Monster,5.9,2.7,1,Trad,Tahquitz & Suicide Rocks,California
There Goes The Neighborhood,5.10- PG13,2.7,1,Sport,Colorado Springs,Colorado
The Second Coming,5.8,4.4,4,"Trad, Alpine",Albuquerque Area Climbing,New Mexico
Johnny Quest,5.10b,4.2,2,Trad,Tahquitz & Suicide Rocks,California
Flake Out,5.7,2.6,2,Trad,Tahquitz & Suicide Rocks,California
Popcorn Farce,5.9+,3.7,1,Trad,Vedauwoo,Wyoming
Low Pressure,5.10c R,2.6,1,Trad,Tahquitz & Suicide Rocks,California
Shake Down,5.8,2.4,1,Trad,Tahquitz & Suicide Rocks,California
The Adulterer,5.12b,3.7,1,Sport,Boulder,Colorado
Mother Board Breakdown,5.10c,3.5,1,Trad,Joshua Tree National Park,California
Elephant Walk,5.7,4.1,1,Trad,Southern Sierra,California
Friday the 13th,5.7,2.3,1,Trad,Southern Sierra,California
Milky Way,5.10-,3.7,2,Sport,"Central-East Cascades, Wenatchee, & Leavenworth",Washington
Short Story,5.6,2.8,2,Trad,Tahquitz & Suicide Rocks,California
The Black Rose,5.8+,4.5,,Trad,Northern Arizona,Arizona
Aqualung,5.10,4.5,,Trad,Northern Arizona,Arizona
Darth Maul,V4-5,4.6,,Boulder,"Central-East Cascades, Wenatchee, & Leavenworth",Washington
Palm Sunday,5.11b,3.0,1,Trad,Tahquitz & Suicide Rocks,California
Rockwork Orange,5.10a,4.3,,Trad,San Diego County,California
Vitamin R,5.7 R,2.0,1,Trad,Joshua Tree National Park,California
Delila,5.8,3.6,2,Trad,Tahquitz & Suicide Rocks,California
The Rapture,5.8-,3.5,1,"Sport, TR",Central Coast,California
Regular Route,5.7,3.4,3,Trad,Northern Arizona,Arizona
George and Martha,5.10a,4.2,1,Trad,Central Region,Washington
Aires,5.8+,4.1,5,Trad,Central-West Cascades & Seattle,Washington
The Breeze,5.10a R,2.2,1,Trad,Tahquitz & Suicide Rocks,California
Ours,5.10b,2.6,1,Trad,Tahquitz & Suicide Rocks,California
Mechanic's Route,5.8 R,4.2,3,Trad,Tahquitz & Suicide Rocks,California
Sam I Am,5.8,3.2,1,Trad,San Diego County,California
The Roofs of Jericho,5.10c,4.2,2,Sport,Saint George,Utah
Anti-Bro,5.10a PG13,2.6,1,Sport,Central Coast,California
Violent Mood Swings,5.9,3.1,,Trad,Northeast Corner & Spokane,Washington
Character Assassination,5.10c/d,4.7,,Sport,Northeast Corner & Spokane,Washington
Micro Putz,5.10a,2.9,,"Sport, TR",Grandad's Bluff,Wisconsin
Ranger Bolts (aka Move over Rover),5.13a,4.3,1,Sport,Central Coast,California
Heartbreaker,5.12a,3.9,1,Sport,Southern Arizona,Arizona
Mid-Life Crisis,5.8,3.8,,Sport,Northeast Corner & Spokane,Washington
Hip Replacement,5.10+,2.3,1,Sport,Boulder,Colorado
Triple Overhang,5.6,2.8,2,Trad,Central Coast,California
White Noise,5.10d,3.3,,Sport,Willow River State Park,Wisconsin
The Spider And The Fly,5.9,1.5,1,TR,Joshua Tree National Park,California
Marginal Karma,5.11b,4.0,1,Trad,Central-West Cascades & Seattle,Washington
Puppet Strings,5.10a,3.4,1,Sport,Saint George,Utah
Mother Superior,5.11+,5.0,,"Trad, TR",San Diego County,California
Starving In Stereo,5.12a,4.8,,"Trad, TR",San Diego County,California
Rock The Boat,5.13b,3.0,,Sport,San Diego County,California
Bat Flake,5.10d,4.5,,TR,San Diego County,California
Twisted Gumby,5.5,2.5,1,Sport,Southern Arizona,Arizona
Sleeping Beauty,5.11c,4.0,1,Sport,Enchanted Tower,New Mexico
Whodunit,5.9,4.7,8,Trad,Tahquitz & Suicide Rocks,California
Jailbreak (variation),5.10b R,3.9,1,"Trad, TR",Lake Tahoe,California
Silverado Squatters,5.10b,3.7,1,Sport,San Francisco Bay Area,California
Bear Fingers,5.10a,3.4,1,Trad,San Francisco Bay Area,California
Face Lift,5.7 R,3.7,2,Trad,Central Coast,California
Scrub Job,5.9+ PG13,3.0,1,Trad,Central Coast,California
Deadman's Rappel,5.7,3.7,1,Sport,Reno and Carson City,Nevada
Super Squish,5.10d,3.4,1,Sport,Central-West Cascades & Seattle,Washington
Reachin For The Sky,5.8+,1.7,1,"Trad, Sport",Southern Arizona,Arizona
Batteries Not Included,5.9+,3.5,1,Trad,Moab Area,Utah
Erect Direction,5.10c,4.7,3,Trad,The Gunks,New York
The Trough,5.5,2.9,2,Trad,Inland Empire,California
Up Yours,WI5,3.7,1,"Trad, TR, Ice",CO Ice & Mixed,Colorado
City Girls,5.10c,3.6,1,Sport,City of Rocks,Idaho
Yellow Ridge,5.7,4.6,2,Trad,The Gunks,New York
Yellow Belly,5.8+ PG13,3.7,2,Trad,The Gunks,New York
Horseman,5.5,4.4,1,Trad,The Gunks,New York
Frog's Head,5.6,4.1,2,Trad,The Gunks,New York
The Chauvinist,5.8+,3.3,2,Trad,Tahquitz & Suicide Rocks,California
My Pink Half of the Drainpipe,5.10c,3.8,1,Trad,Tahquitz & Suicide Rocks,California
El Whampo,5.7,3.9,5,Trad,Tahquitz & Suicide Rocks,California
Looking Backward,5.10a,3.0,2,Trad,Tahquitz & Suicide Rocks,California
Switchbacks,5.8,2.0,3,Trad,Tahquitz & Suicide Rocks,California
"Pas de Deux, Original Route",5.10b,2.0,1,Trad,Tahquitz & Suicide Rocks,California
Upside Down Cake,5.10b,3.0,1,Trad,Tahquitz & Suicide Rocks,California
Blood Chemestry Adjustment,5.10d,3.9,,Sport,Northern Arizona,Arizona
Yum Yum Yab Yum,5.4,4.0,3,Trad,The Gunks,New York
Golden Book,5.6,3.2,,"Trad, TR",Central Valley,Connecticut
You Don't Know Jack $%^,5.9,3.4,,Sport,Northern Arizona,Arizona
Controversial,5.9 R,1.0,1,Trad,Joshua Tree National Park,California
Frequent Flyer,5.12a/b,3.2,,Sport,Northern Arizona,Arizona
Whales Back,V0,2.2,1,Boulder,Central Arizona,Arizona
Sleeper,5.9,3.5,1,Trad,Red Rock,Nevada
Beginner's Delight,5.4,4.1,3,Trad,The Gunks,New York
Crater Maker (aka Dark Side of the Moon),5.7 R,2.9,1,Trad,Inland Empire,California
Tapping the Vien,5.6,2.9,1,Sport,Central Arizona,Arizona
Raging Inferno,5.9,2.0,1,Sport,Central Arizona,Arizona
The gripper,5.9 PG13,3.3,1,Sport,Central Arizona,Arizona
RadioShack Offwidth,V2-,3.0,,"Trad, Boulder",Buildering Sites,Wisconsin
Little Black Book,5.4,3.2,1,Trad,Red Rock,Nevada
Big Bulge Easy,V0,3.0,,Boulder,Southern Arizona,Arizona
Unknown,5.10c,3.0,1,Trad,Moab Area,Utah
Shark Arete,V1,3.0,,Boulder,Wasatch Range,Utah
Bulge,V1,2.0,,Boulder,Wasatch Range,Utah
Air Guitar,5.10a,4.3,,Trad,Central Region,Washington
Delayed Flight,5.8,2.5,1,Trad,Central Arizona,Arizona
Young Guns,5.11d,3.3,1,Trad,Joshua Tree National Park,California
Dean Problem - Arete,V2,4.0,1,Boulder,Wasatch Range,Utah
Korean Cowboy,5.12 V4+,3.0,,"Trad, Boulder",San Diego County,California
East Slabs,5.2,2.8,2,Trad,Boulder,Colorado
Driving South,5.11d,4.8,,"Trad, TR",San Diego County,California
Two For One,5.10b,2.5,,Sport,Canon City,Colorado
Bad Moon Rising,5.11a,4.3,,Sport,Central Oregon,Oregon
Myopic,5.11-,2.4,,Sport,Southern Arizona,Arizona
Blinded by the Light,5.10b,2.7,,Sport,Southern Arizona,Arizona
Birthday Party,5.7+,3.6,1,Trad,Central Arizona,Arizona
Levitate,5.11d,3.7,1,Trad,Central Oregon,Oregon
Phone Call From Satan,5.9,3.9,,Sport,Central Oregon,Oregon
Caffeine Free,5.10b,3.7,1,Sport,Central Oregon,Oregon
Aurora No Boreals,5.12a,3.5,,Sport,Southern Arizona,Arizona
Turn The Other Cheek,5.10-,2.3,,Trad,Southern Arizona,Arizona
North Face,5.9+,3.0,4,Trad,Northern Arizona,Arizona
Co-op Crack,5.10b,4.1,2,Trad,Central Arizona,Arizona
Blockhead,5.9,3.4,1,Sport,Central-West Cascades & Seattle,Washington
See the Light,5.11,2.2,1,Trad,Southern Arizona,Arizona
Arete Right Side,V3,3.9,,Boulder,Moab Area,Utah
Leftover,5.8+,3.3,,Trad,Central Valley,Connecticut
Deception,5.8,3.4,,Trad,Central Valley,Connecticut
Main Street,5.4,3.2,,Trad,Central Valley,Connecticut
Kor Crack,5.9-,3.6,,Trad,Central Valley,Connecticut
Widowmaker (aka Leave it to Beaver),5.10+,3.8,1,TR,Rose Ledge,Massachusetts
Thin Fingers,5.11a,4.8,1,Trad,Central-West Cascades & Seattle,Washington
Julies Roof,5.11a,4.8,1,Trad,Central-West Cascades & Seattle,Washington
Easy Crack,5.8,3.3,1,Trad,San Bernardino Mountains,California
Brian's Song,5.10c,2.6,1,Sport,San Bernardino Mountains,California
Mousetrap,5.12-,4.0,1,Trad,Moab Area,Utah
Sun Spot,5.11b,2.6,1,Sport,San Bernardino Mountains,California
Tulip,5.6 R,2.6,1,Trad,Joshua Tree National Park,California
Old Bolt Route,5.11b,3.0,1,TR,San Francisco Bay Area,California
A1 Route,A2,2.0,,"Trad, Aid",San Diego County,California
Overhanging Crack,5.12a,3.7,,TR,San Diego County,California
Massive Luxury Overdose (aka Planet Luxury),5.10c,3.8,1,Sport,Central Oregon,Oregon
Chairman Mao's Little Red Book,5.11a,4.3,2,Trad,Central Oregon,Oregon
Zoaster Toaster,5.11d,4.4,1,Sport,Maple Canyon,Utah
Low Tide,5.10-,2.6,1,Sport,Red Rock,Nevada
American Sportsman,5.10b,3.5,1,Sport,Red Rock,Nevada
Promises in the Dark,5.12b,4.2,1,Sport,Red Rock,Nevada
Social Disorder,5.11d,3.7,1,Sport,Red Rock,Nevada
Armatron,5.9-,4.4,6,Trad,Red Rock,Nevada
Annals of Time,5.9,3.7,4,"Trad, Alpine",Grand Teton National Park,Wyoming
"The Nose, of Jello Tower",5.10d,4.1,1,Trad,"Central-East Cascades, Wenatchee, & Leavenworth",Washington
Time Out,5.10b,3.0,1,Trad,Joshua Tree National Park,California
South Face Direct,5.9 C3+,3.5,5,"Trad, Aid",Grand Junction Area,Colorado
Master Looney,5.11a,4.8,1,Trad,Central Oregon,Oregon
Name Dropper,V3,3.6,,Boulder,Hueco Tanks,Texas
Mr. Slate,5.10b,4.4,1,Sport,Northern Arizona,Arizona
Purple Shark,5.12a,4.4,1,Sport,Northern Arizona,Arizona
Sister of Mercy,5.12c,2.0,,Sport,Northern Arizona,Arizona
The Abyss,5.11a,4.1,1,Sport,Northern Arizona,Arizona
Real Men of Genius,5.10b,3.1,1,Sport,San Bernardino Mountains,California
Nobody Here Gets Out Alive,V2,4.8,,Boulder,Hueco Tanks,Texas
Baby Face,V7,4.7,,Boulder,Hueco Tanks,Texas
Nerve Storm,5.12- PG13,3.5,1,Trad,Joshua Tree National Park,California
Panty Mime,5.10+,3.5,1,Sport,Red Rock,Nevada
Unnamed 11 (shares BG anchor),5.11,2.8,1,Trad,Moab Area,Utah
Sun Ribbon Arete,5.10a,4.7,22,"Trad, Alpine",High Sierra,California
Evil Offspring,5.12d,3.8,,Sport,Northern Arizona,Arizona
Groom with a View,5.10b,3.1,1,Sport,Castle Rocks,Idaho
Absence of Authority,5.11b PG13,3.0,1,Trad,Castle Rocks,Idaho
East Crack,5.8,4.0,3,Trad,Lake Tahoe,California
Albatross,V4,2.5,,Boulder,Portland & The Gorge,Oregon
Drill 'Em and Fill 'Em,5.10a,3.0,1,Sport,Central Oregon,Oregon
Knuckle Bones,5.10d,2.8,1,Sport,Saint George,Utah
Anal Intruder  10,V10-11,3.0,,Boulder,Hueco Tanks,Texas
Change Up,5.9,3.0,2,Trad,Red Rock,Nevada
Orc Sighs,5.10c,3.5,1,Trad,Joshua Tree National Park,California
Pitfalls of Hesitation,5.10,4.1,3,Trad,Southern Arizona,Arizona
Cut Loose,5.10d,4.1,1,"Trad, Sport",Red Rock,Nevada
High Wire,5.10- PG13,3.3,1,Trad,Red Rock,Nevada
Miss Conception,5.10a,3.7,2,"Trad, Sport",Red Rock,Nevada
The Breeze,5.11c,3.6,,Sport,Southern Arizona,Arizona
Obscure No  More,5.10c PG13,2.3,1,Sport,Southern Arizona,Arizona
Owen Spalding,5.4,4.3,3,"Trad, Alpine",Grand Teton National Park,Wyoming
Hayutake,5.10+ PG13,4.0,1,Trad,Moab Area,Utah
Kid Packed Minivan From Hell,5.11a,3.5,1,Sport,Central Oregon,Oregon
The Hurricane,5.10-,2.8,3,Trad,Northern Arizona,Arizona
Earth Angel,5.10-,4.3,6,Trad,Northern Arizona,Arizona
Ventre de Boeuf,5.9 PG13,4.4,1,Trad,The Gunks,New York
Model Worker,5.11c,4.5,1,Trad,Central-West Cascades & Seattle,Washington
Deep Thoughts,WI4,3.0,2,Ice,CO Ice & Mixed,Colorado
Deep Shit,WI5,3.0,1,Ice,CO Ice & Mixed,Colorado
Fingering Xena,5.10b/c,4.0,2,Trad,Northern Arizona,Arizona
Red Beard,5.7,3.6,1,Trad,Reno and Carson City,Nevada
Grip Master,5.10b,3.7,1,Trad,Reno and Carson City,Nevada
Friend of the Devil,5.10b,3.0,,Trad,Central Arizona,Arizona
Crack   6,5.10a,3.8,1,Trad,Joshua Tree National Park,California
Irish Pride,5.10c/d,3.7,1,Sport,Grand Junction Area,Colorado
Orange Crush,5.11b/c,3.5,1,Sport,Southern Sierra,California
Whipper Wonderland,5.12a/b,3.6,,Sport,El Rito,New Mexico
Dubious Flirtations,5.10b/c,2.7,1,Trad,Red Rock,Nevada
Cool World,5.11b,3.9,3,Sport,Wasatch Range,Utah
Bloody Mary,5.7,2.6,1,"Sport, TR",Southern Arizona,Arizona
Mother of Invention,5.12a,4.0,1,"Sport, TR",Wasatch Range,Utah
Big Corner,5.10+,4.1,2,Trad,Northern Arizona,Arizona
Catsup,5.10-,3.1,,Trad,Moab Area,Utah
To Skin a Cat,5.11d,3.0,,Trad,Moab Area,Utah
Garden Variety,V7,3.5,,Boulder,Willamette Valley,Oregon
Arch Tower: Knot in My Backyard,5.9,4.0,3,Trad,San Rafael Swell,Utah
Barbecue The Pope,5.10b,4.0,1,Sport,Central Oregon,Oregon
TT's Terror,5.7+,3.3,1,Trad,Northern Arizona,Arizona
Texas Whine,5.11c,2.0,,Sport,El Rito,New Mexico
Little Kings,5.12b,3.5,,Sport,El Rito,New Mexico
Apple Cobbler,5.10a,3.0,,Sport,El Rito,New Mexico
Wasp Mentality,5.11c,3.8,,Sport,Barn Bluff (Red Wing),Minnesota
Night Shift,M5-6,3.6,1,"Trad, Sport, Mixed",CO Ice & Mixed,Colorado
Electric Mexican,V3,3.7,,Boulder,Vedauwoo,Wyoming
Brown Eyed Girl,V4,4.8,,Boulder,Vedauwoo,Wyoming
Stroke Me,5.12a,4.6,,Sport,El Rito,New Mexico
Grits,5.12b,3.2,,Sport,El Rito,New Mexico
Predator,5.12d,4.2,,Sport,Maple Canyon,Utah
Down and Out,5.7,2.8,1,Trad,Devil's Tower,Wyoming
Angel's Ladder,5.10d R,4.0,1,Trad,Wasatch Range,Utah
April Fools,5.10b,2.6,1,Sport,Red Rock,Nevada
Dave Christensen Memorial Route,5.10b/c,3.3,1,Trad,Central Arizona,Arizona
Last Tango in Durango,5.10,3.2,1,TR,Durango,Colorado
Flora and Fauna,5.8,2.7,1,TR,Durango,Colorado
Lion's Jaw,5.8,4.0,1,Trad,Central Oregon,Oregon
Afterburner,5.12b,2.7,,Sport,Southern Arizona,Arizona
Acne Problem,5.7,3.4,2,Sport,Willamette Valley,Oregon
I'm Your Hate,5.11a,3.0,1,Sport,Central Oregon,Oregon
Grand Illusion,5.9+,4.3,1,"Trad, TR",Devil's Lake,Wisconsin
The Squid,WI5-6 M6-7,4.8,2,"Mixed, Ice, Alpine",CO Ice & Mixed,Colorado
Personal Space,5.10c,3.0,1,TR,Joshua Tree National Park,California
Cinco de Mayo Variation,5.10,2.7,1,Sport,Northern Arizona,Arizona
Arch Stanton,5.6,2.0,1,TR,Central Coast,California
Piece of the Puzzle,5.8+,3.0,1,Sport,"Central-East Cascades, Wenatchee, & Leavenworth",Washington
Which Old Witch,5.7,2.9,,Sport,Southern Arizona,Arizona
Miss Gultch,5.7,3.0,,Sport,Southern Arizona,Arizona
What a World,5.9,2.5,,Sport,Southern Arizona,Arizona
Lebanese JoJo,5.9+,3.8,2,Trad,Red Rock,Nevada
Input,5.8,2.3,,Sport,Southern Arizona,Arizona
Beach Bum,5.9+,2.6,1,"Trad, Sport, TR",Boulder,Colorado
